Platform,OS & Ver,EOS Date
AirVend,2.01602E+11,Custom Build - No EOS
AirVend,2.01604E+11,Custom Build - No EOS
AirVend,2.01609E+11,Custom Build - No EOS
AirVend,2.0161E+11,Custom Build - No EOS
AirVend,2.0161E+11,Custom Build - No EOS
AirVend,2.0161E+11,Custom Build - No EOS
AirVend,2.01612E+11,Custom Build - No EOS
AirVend,2.01701E+11,Custom Build - No EOS
AirVend,2.01704E+11,Custom Build - No EOS
AirVend,2.01707E+11,Custom Build - No EOS
AirVend,2.01802E+11,Custom Build - No EOS
AirVend,2.01804E+11,Custom Build - No EOS
AirVend,2.0181E+11,Custom Build - No EOS
AirVend,2.01902E+11,Custom Build - No EOS
AirVend,2.01905E+11,Custom Build - No EOS
AirVend,2.01906E+11,Custom Build - No EOS
AirVend,2.02003E+11,Custom Build - No EOS
AirVend,4.0.3 crane_q8-eng 4.0.3 IML74K 20120626 test-keys,Custom Build - No EOS
AirVend,4.0.4 nuclear_evb-eng 4.0.4 IMM76D 20131113 test-keys,Custom Build - No EOS
AirVend,4.0.4 nuclear_pfdq88d-eng 4.0.4 IMM76D 20130531 test-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.2.0AV5-2 eng.happycactus.20140512.193810 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.2.0AV7-1 eng.happycactus.20140416.164018 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.1AV5-3 eng.happycactus.20140902.104734 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.1AV5-4 eng.happycactus.20140911.173259 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.1AV7-3 eng.happycactus.20140902.120251 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.1AV7-4 eng.happycactus.20140912.193935 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.2AV5 eng.happycactus.20141014.173350 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.2AV7 eng.happycactus.20141014.174354 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.3AV7 eng.happycactus.20141027.153922 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.4AV5 eng.happycactus.20141227.131908 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.4AV5RC2 eng.happycactus.20141114.171006 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.4AV5upd4 eng.happycactus.20150123.174108 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.4AV7upd3 eng.happycactus.20150102.165004 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.4AV7upd4 eng.happycactus.20150123.172917 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.5AV5b3xnoeth eng.happycactus.20151113.184046 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.5AV5c eng.happycactus.20160523.185306 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.3.5AV7c eng.happycactus.20160523.190744 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.4.6AV5 eng.luo.20181019.151531 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.4.6AV7 eng.luo.20181019.154833 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.4.7AV5 38 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.4.7AV5 39 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.4.7AV7 12 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.4.8AV7 14 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.5.6AV5 51 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.5.6AV7 27 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.5.7AV5 55 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.5.7AV7 29 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.5.8AV5 59 dev-keys,Custom Build - No EOS
AirVend,4.2.2 sabresd_6dq-eng 4.2.2 1.5.8AV7 32 dev-keys,Custom Build - No EOS
AirVend,6.0.1,Custom Build - No EOS
AirVend,7.1.2 1.2.1.131711,Custom Build - No EOS
AirVend,7.1.2 1.2.1.136111,Custom Build - No EOS
AirVend,7.1.2 1.2.1.136911,Custom Build - No EOS
AirVend,7.1.2 1.2.1.138611,Custom Build - No EOS
AirVend,7.1.2 1.2.1.143411,Custom Build - No EOS
AirVend,7.1.2 1.2.1.146011,Custom Build - No EOS
AirVend,7.1.2 1.2.1.149811,Custom Build - No EOS
AirVend,7.1.2 1.2.1.158211,Custom Build - No EOS
AirVend,7.1.2 1.2.1.166411,Custom Build - No EOS
AirVend,castle-linux,Custom Build - No EOS
AirVend,nuclear_evb-eng 4.0.4 IMM76D 20131113 test-keys,Custom Build - No EOS
AirVend,nuclear_pfdq88d-eng 4.0.4 IMM76D 20130531 test-keys,Custom Build - No EOS
AirVend,NULL,Custom Build - No EOS
AirVend,VRF012-20201113,Custom Build - No EOS
AirVend,VRF412-20210818,Custom Build - No EOS
AirVend,VRF412-20211001,Custom Build - No EOS
Avanti,Windows 10 Enterprise 2016 LTSB (1607),10/13/2026
Avanti,Windows 10 Enterprise 2016 LTSB x64,10/13/2026
Avanti,Windows 10 Enterprise LTSC 2019 (1809),1/9/2024
Avanti,Windows 10 Enterprise LTSC 2019 x64,1/9/2024
Avanti,Windows 10 IoT Enterprise LTSC 2021 (21H2),1/12/2027
Avanti,Windows 10 Pro (22H2) x86,10/14/2025
Avanti,Windows Embedded 8.1 Industry Pro,7/10/2018
Avanti,Windows Embedded 8.1 Industry Pro x86,7/10/2018
CompanyKitchen,Ubuntu 12.04,4/1/2019
CompanyKitchen,Ubuntu 16.04,4/1/2026
CompanyKitchen,Ubuntu 18.04,4/1/2028
Legacy,Microsoft Windows 10,10/1/2025
Legacy,Unknown,OS EOL Not Found
Legacy,Windows 7 Embedded,10/1/2020
ADM/v5,CentOS Linux release 7.6,6/1/2024
ADM/v5,CentOS Linux release 7.6.1810 (Core) 3.10.0-957.21.3.el7.x86_64,6/1/2024
ADM/v5,CentOS Linux release 7.7,6/1/2024
ADM/v5,CentOS Linux release 7.7.1908 (Core) 3.10.0-1062.9.1.el7.x86_64,6/1/2024
ADM/v5,CentOS Linux release 7.9,6/1/2024
ADM/v5,CentOS Linux release 7.9.2009 (Core) 3.10.0-1062.9.1.el7.x86_64,6/1/2024
ADM/v5,CentOS Linux release 7.9.2009 (Core) 3.10.0-1160.11.1.el7.x86_64,6/1/2024
ADM/v5,CentOS Linux release 7.9.2009 (Core) 3.10.0-1160.45.1.el7.x86_64,6/1/2024
ADM/v5,CentOS Linux release 7.9.2009 (Core) 3.10.0-1160.66.1.el7.x86_64,6/1/2024
ADM/v5,CentOS Linux release 7.9.2009 (Core) 3.10.0-1160.76.1.el7.x86_64,6/1/2024
ADM/v5,CentOS Linux release 7.9.2009 (Core) 3.10.0-957.21.3.el7.x86_64,6/1/2024
ADM/v5,Ubuntu 14.04,4/1/2024
ADM/v5,Ubuntu 14.04.1 LTS 3.13.0-24-generic,4/1/2024
ADM/v5,Ubuntu 14.04.2 LTS 3.16.0-30-generic,4/1/2024
ADM/v5,Ubuntu 14.04.3 LTS 3.16.0-51-generic,4/1/2024
ADM/v5,Ubuntu 14.04.4 LTS 4.2.0-27-generic,4/1/2024
ADM/v5,Ubuntu 14.04.4 LTS 4.2.0-42-generic,4/1/2024
ADM/v5,Ubuntu 14.04.4 LTS 4.4.0-116-generic,4/1/2024
ADM/v5,Ubuntu 14.04.4 LTS 4.4.0-148-generic,4/1/2024
ADM/v5,Ubuntu 14.04.5 LTS 4.2.0-42-generic,4/1/2024
ADM/v5,Ubuntu 14.04.5 LTS 4.4.0-148-generic,4/1/2024
ADM/v5,Ubuntu 14.04.6 LTS 3.13.0-185-generic,4/1/2024
ADM/v5,Ubuntu 14.04.6 LTS 3.13.0-187-generic,4/1/2024
ADM/v5,Ubuntu 14.04.6 LTS 3.16.0-30-generic,4/1/2024
ADM/v5,Ubuntu 14.04.6 LTS 3.16.0-77-generic,4/1/2024
ADM/v5,Ubuntu 14.04.6 LTS 4.2.0-27-generic,4/1/2024
ADM/v5,Ubuntu 14.04.6 LTS 4.2.0-42-generic,4/1/2024
ADM/v5,Ubuntu 20.04,4/1/2030
ADM/v5,Ubuntu 20.04.2 LTS 5.8.0-45-generic,4/1/2030
ADM/v5,Ubuntu 20.04.2 LTS 5.8.0-59-generic,4/1/2030
ADM/v5,Ubuntu 20.04.3 LTS 5.11.0-34-generic,4/1/2030
ADM/v5,Ubuntu 20.04.4 LTS 5.13.0-35-generic,4/1/2030
ADM/v5,Ubuntu 20.04.4 LTS 5.13.0-44-generic,4/1/2030
ADM/v5,Ubuntu 20.04.5 LTS 5.15.0-53-generic,4/1/2030
ADM/v5,Ubuntu 20.04.5 LTS 5.15.0-56-generic,4/1/2030
ADM/v5,Ubuntu 20.04.5 LTS 5.15.0-60-generic,4/1/2030
ADM/v5,Ubuntu 20.04.6 LTS 5.15.0-71-generic,4/1/2030
