Operator Name,Operator Group
Apple Automatic Food Service,Canteen
Canteen Denver,Canteen
Canteen Des Moines SNG,Canteen
Canteen Tucson,Canteen
DynamicVending,Canteen
Parks Pantry Austin,Canteen
Parks Pantry California,Canteen
Parks Pantry Houston,Canteen
Parks Pantry SNG,Canteen
ParksPantry,Canteen
Piedmont,Canteen
WatsonsVendingandFoodService,Canteen
Aramatic,CanteenFranchiseGroup
Atlantic Vending,CanteenFranchiseGroup
Automated Food Service,CanteenFranchiseGroup
Automatic Chef Canteen,CanteenFranchiseGroup
BandP Vending,CanteenFranchiseGroup
Berkshire Food Distributors Inc,CanteenFranchiseGroup
Canteen Berks Vending FKA AMBC,CanteenFranchiseGroup
Canteen of Coastal California - Downey Vending,CanteenFranchiseGroup
Canteen of Fresno,CanteenFranchiseGroup
Canteen Svc Co of Ukiah,CanteenFranchiseGroup
CanteenofCentralNM,CanteenFranchiseGroup
CanteenofCoastalCalifornia,CanteenFranchiseGroup
CanteenofNorthernCA,CanteenFranchiseGroup
Casco Bay Food and Beverage,CanteenFranchiseGroup
Classic Vending LLC,CanteenFranchiseGroup
ContinentalServices,CanteenFranchiseGroup
CuyahogaGroup,CanteenFranchiseGroup
El Paso Snax,CanteenFranchiseGroup
EmpireVending,CanteenFranchiseGroup
Five Star Food Services TX,CanteenFranchiseGroup
Foley,CanteenFranchiseGroup
Franks Vending Service,CanteenFranchiseGroup
Jackson Brothers of the South,CanteenFranchiseGroup
Kinney Amusement and Vending Co,CanteenFranchiseGroup
LangeVending,CanteenFranchiseGroup
LathropVending,CanteenFranchiseGroup
M and M Sales Company INC,CanteenFranchiseGroup
Machine Cuisine LLC,CanteenFranchiseGroup
Midwest Vending Inc.,CanteenFranchiseGroup
MonumentalVending,CanteenFranchiseGroup
Otto Vending Service Inc,CanteenFranchiseGroup
Premium Food and Beverage,CanteenFranchiseGroup
Premium Food and Beverage Sioux Falls,CanteenFranchiseGroup
River Vending (JHS),CanteenFranchiseGroup
RV Goodman,CanteenFranchiseGroup
Sky Top Vending,CanteenFranchiseGroup
Smith Vending Corp,CanteenFranchiseGroup
SouthernVending,CanteenFranchiseGroup
Ten M Vending,CanteenFranchiseGroup
The Quality Companies INC,CanteenFranchiseGroup
TheVendingStationInc,CanteenFranchiseGroup
Treasure Valley Vending,CanteenFranchiseGroup
Weserv Inc.,CanteenFranchiseGroup
Weserv-gimme,CanteenFranchiseGroup
Wilmore Snack Sales,CanteenFranchiseGroup
"Five Star Food Service, Inc.",FiveStar
FiveStarPulaskiTN,FiveStar
Refreshment Solutions L.L.C.,FiveStar
Sodexo @ ADP,Sodexo
Sodexo @ Kraft AON,Sodexo
Sodexo AAA Costa Mesa,Sodexo
Sodexo AAA Texas,Sodexo
Sodexo Accent Baltimore,Sodexo
Sodexo Acushnet,Sodexo
Sodexo ADP Augusta,Sodexo
Sodexo ADP Orlando,Sodexo
Sodexo Aegon,Sodexo
Sodexo AJ Gallagher,Sodexo
Sodexo Alcon Johns Creek,Sodexo
Sodexo Archer Daniels,Sodexo
Sodexo Art Center,Sodexo
Sodexo BAE,Sodexo
Sodexo Ball Horticultural,Sodexo
Sodexo Blue Cross Blue Shield AZ,Sodexo
Sodexo BMS New Brunswick,Sodexo
Sodexo Boehringer PDW,Sodexo
Sodexo Boehringer Roxanne,Sodexo
Sodexo Bose Boston,Sodexo
Sodexo Boston Vending Branch,Sodexo
Sodexo Brigham Womans and Health,Sodexo
Sodexo Broadcom Broomfield,Sodexo
Sodexo Broadcom Colorado Springs,Sodexo
Sodexo Broadcom Irvine,Sodexo
Sodexo Broadcom Mendota,Sodexo
Sodexo Cargill,Sodexo
Sodexo CDW SodexoMagic - CDW,Sodexo
Sodexo Chapman University,Sodexo
Sodexo Charles Drew University,Sodexo
Sodexo CHI Chattanooga,Sodexo
Sodexo CHLA Glendale,Sodexo
Sodexo Cox Las Vegas,Sodexo
Sodexo Cox Phoenix,Sodexo
Sodexo Creighton,Sodexo
Sodexo Day Kimball,Sodexo
Sodexo Deloitte Chicago,Sodexo
Sodexo Delta Airline,Sodexo
Sodexo Detroit Branch,Sodexo
Sodexo Discover Chicago,Sodexo
Sodexo Discover Lake Park,Sodexo
Sodexo Discover New Castle,Sodexo
Sodexo Eastman Chemical,Sodexo
Sodexo Eaton Marshall,Sodexo
Sodexo Energizer,Sodexo
Sodexo Express Scripts OH,Sodexo
Sodexo Exxon HQ,Sodexo
Sodexo Farm Bureau,Sodexo
Sodexo Farmers Insurance,Sodexo
Sodexo Freedom Financial,Sodexo
Sodexo GE Aviation OH,Sodexo
Sodexo GE Research and Development,Sodexo
Sodexo Georgia Vending,Sodexo
Sodexo Grand Traverse Pavilions,Sodexo
Sodexo Greenwich,Sodexo
Sodexo Greer,Sodexo
Sodexo Guide One,Sodexo
Sodexo Gulfstream,Sodexo
Sodexo Harland Clarke,Sodexo
Sodexo Hilton HQ,Sodexo
Sodexo Hollington Vending,Sodexo
Sodexo Houston Branch,Sodexo
Sodexo Humana Westchester,Sodexo
Sodexo Hunton Law DC,Sodexo
Sodexo JHU,Sodexo
Sodexo Joint Commission,Sodexo
Sodexo Kaiser VA,Sodexo
Sodexo Kelloggs Battle Creek,Sodexo
Sodexo Lackland AFB,Sodexo
Sodexo Lawrence Livermore National Laboratory,Sodexo
Sodexo Lehigh University,Sodexo
Sodexo Lexington,Sodexo
Sodexo Linear,Sodexo
Sodexo Lockheed Martin Rockville,Sodexo
Sodexo Louisville,Sodexo
Sodexo Lowell Hospital,Sodexo
Sodexo Lubrizol Ohio,Sodexo
Sodexo Mckesson,Sodexo
Sodexo McKesson Jacksonville,Sodexo
Sodexo Methodist Stone Oak,Sodexo
Sodexo MITMCO,Sodexo
Sodexo Morgan Stanley Menlo Park,Sodexo
Sodexo My 3 Sons,Sodexo
Sodexo Navient AKA Sallie Mae,Sodexo
Sodexo NetJets,Sodexo
Sodexo New Jersey,Sodexo
Sodexo Newport Hospital,Sodexo
Sodexo Nokia,Sodexo
Sodexo Northrop Grumman AZ,Sodexo
Sodexo Novartis New Jersey,Sodexo
Sodexo Office,Sodexo
Sodexo Onslow Memorial Hospital,Sodexo
Sodexo Orbital,Sodexo
Sodexo OSS Orthopedic Hospital,Sodexo
Sodexo P and G Auburn,Sodexo
Sodexo P and G Gillette,Sodexo
Sodexo P and G Greensboro,Sodexo
Sodexo P and G Iowa City,Sodexo
Sodexo P and G Lima,Sodexo
Sodexo Peconic Bay,Sodexo
Sodexo Pfizer Kansas,Sodexo
Sodexo Pfizer NC,Sodexo
Sodexo PG and E,Sodexo
Sodexo PGE Livermore Academy,Sodexo
Sodexo Phoenix,Sodexo
Sodexo Premera Mountlake Terrace,Sodexo
Sodexo Premera Spokane,Sodexo
Sodexo Promedica,Sodexo
Sodexo Raleigh Branch,Sodexo
Sodexo Schick CT,Sodexo
Sodexo Security Benefits,Sodexo
Sodexo Sharp,Sodexo
Sodexo Swiss Re,Sodexo
Sodexo TD Bank New Jersey,Sodexo
Sodexo Terumo,Sodexo
Sodexo Teva Cincinnati,Sodexo
Sodexo Teva Westchester,Sodexo
Sodexo Theisen Vending,Sodexo
Sodexo Toyota Georgetown,Sodexo
Sodexo Toyota Mississippi,Sodexo
Sodexo Trinity Health Care,Sodexo
Sodexo TSMC,Sodexo
Sodexo Ultraserv,Sodexo
Sodexo UMass Memorial,Sodexo
Sodexo Union Hospital,Sodexo
Sodexo University of Nebraska,Sodexo
Sodexo USAA Patrinely,Sodexo
Sodexo Vending Santa Clara,Sodexo
Sodexo Waters,Sodexo
Sodexo Westat,Sodexo
24 7 Convenience Market Group,
24 7 Convenience SNG,
5 Star Food Service Inc FLORIDA,
A Best Vending Corp,
ABVending AKA Prestige Vending,
Accaputo Vending,
Accent Food Service High Sierra Division,
Accent Food Services Austin Division,
Accent Food Services Mid Atlantic Division FKA BlackTieService,
Accent Food Services Western Region Ace Vending FKA AMAZ,
AccentFoodServices SNG,
Ada Coca Cola Bottling Company,
Advantage Food and Beverage FKA BinskyCorp,
Advantage Test Operator,
AH Hermel FKA Sodexo Theisen Vending,
AHManagement,
Airline Vending,
Alakai Vending Corporation,
All Star - Quad Greenville,
All Star Services,
AMAZ - Ace Vending - United Dairy,
American Food Vending,
American Food Vending Childrens Hospital,
AmeriVendServices,
AMNW Portland,
AMNW Seattle,
AMNW Seattle SNG,
AMNW Tumwater,
AMSW,
ARA VDI Test Organization,
Aramark - State Street John Adams,
AtlantisValley Foods LLC,
Automated Vending Services Inc,
Automated Vending Services Inc - Sacramento,
Automatic Vending Service LLC - OR,
Avanti Lab,
Avanti Lab 2020,
Avanti Lab Rename,
Avanti Lab Validation,
Avanti Lab VDI Testing,
Avanti Lab1,
Avanti Markets Rocky Mountain,
AvantiMarketsFlorida,
AVC Markets LLC,
Avendco,
AVI Food Systems FKA Bittner Vending,
AVM Services 2,
AVM Vending,
Bayco Vending Inc,
Best Vending LLC,
Bettoli Vending,
Bird Vending,
Blindster,
Blue Sky Supply,
"Boca Vending, Inc.",
Borderland Snacks,
"Break Time Gourmet Markets, LLC",
Break Time Vending Services LLC,
Brec Vending,
BrennanVendingofLondonderry,
Brooklyn Bedding,
Buffalo Strive Vending INC,
Butte Coca Cola,
C and S Vending Inc,
CalMal Vending,
"Cardinal Vending and Markets LLC (Florida Fresh ParLevel VDI	)",
Cardinal Vending Inc,
CBM Services,
Cee Vee Vending,
Champion Vending,
Charlottes Landing,
"Charlottes Landing, Inc",
Chubbys Vending,
Clifford and Martin Inc,
Coffee Break Corporation,
Coffee Perks,
Colonial Vendors,
ContinentalVendingCo,
"Convenience Services Group, LLC",
Cool Springs Vending,
Core-Mark New England,
Corporate Dining Concepts - AL,
Corporate Dining Concepts-OH,
Creedon and Co,
CRH Catering,
CRH Catering PA,
CRH Sodexo,
CSB Services Inc,
CT Services for the Blind - Frank,
Culinart Inc,
Custom Vending Services LLC,
CV Coffee,
Daniel Propheter,
Daniels Vending LLC,
Dartcor Foods,
DC Vending and Distribution,
DeGaetano Vending,
Deli Matic,
Dependable Break Room Solutions,
Discount Office Services,
Distributors Vending Corp,
DiverseFoodSystems,
E and G Vending,
E ting N,
Elior NA,
Elite Vending,
Elite Vending DBA Cura Hospitality,
Elite Vending VA,
Elliots Vending,
Epic Breakroom Solutions LLC,
Evergreen-Portland,
Evergreen-Seattle,
Evergreen-Tumwater,
Executive Vending Services,
First Class Vending AZ,
First Class Vending NV,
First Class Vending RNO,
First Class Vending SC,
First Class Vending SC SNG,
Five Star Pulaski TN_Vendsys,
Florida Fresh Vending,
Florida Fresh Vending North,
Food Express,
Food Express Georgia,
FoodServices,
GEATHERS ENTERPRISES INC dba QUEEN CITY GIFTS AND NEWS,
Globe Vending,
GoldenValleyVendors,
Great Plains Vending,
GreensboroVending,
Heathland Hospitality Group - L3,
Heathland Hospitality Group - TUHS,
HORIZONS Conference Center,
Host Coffee Service,
Ideal Vending,
International Validation Test Org,
International Vending Inc AKA Total Vend,
January Service Company Inc,
Jordan Distributing Company,
JR Davis Vending,
JSH Vending,
Just Right Vending LLC,
K and S Vending Services Inc.,
KandR,
KEMVendingSalesandService,
Konop Companies,
Krueger Vending Services Inc,
KW Vending,
Kwik Vending Service Inc,
Legends Food Service,
LMS Distributing Inc,
Lowes Vending LLC,
LTD Refreshments Inc,
Mag Vend LLC,
Market Business Development,
MarkVend,
MarkVend - S and C Electric Foodroom,
Maumee Valley Group,
Metz Culinary Management,
Miami Valley Vending Services,
Mid Arkansas Vending,
MiMart Self Service Markets Austin,
MiMart Self Service Markets Dallas Ft Worth,
MiMart Self Service Markets El Paso,
MiMart Self Service Markets Houston,
MiMart Self Service Markets San Antonio,
Mountain Vending Inc.,
My Three Sons Vending Services Inc,
NEOS Corporation,
New Concepts Marketing Inc,
Newmont Vending aka Allans Vending Service,
NexDine Hospitality,
Northwood Vending,
Ocean State Vending,
One Source Office Refreshments,
Palace Vending,
Palomar Executive Suites,
"Paradies- Atlanta, LLC",
Paradies Baton Rouge,
Paradies Charlotte LLC,
Paradies Columbia,
Paradies Columbus,
Paradies Dulles International Airport,
Paradies Hartford,
Paradies Lagardere Austin LLC,
Paradies Lagardere Memphis LLC,
Paradies Louisville LLC,
Paradies Palm Springs LLC,
Paradies San Antonio,
Paradies Savannah LLC,
Paradies- Shell Factory II LLC Ft. Myers,
Paradies Washington  DCA,
Parkhurst Dining Service - Allstate Insurance,
Parlevel Test Org,
PavlicVending,
Peak Refreshments LLC,
PGI Denver,
PGI Denver SNG,
PGI Services Salt Lake,
PGIServices,
Premier Breakroom Solutions LLC,
Premium Vending,
PVSDistributing,
Quality Vending Service TN,
Quick Snack LLC,
R R Vending INC,
R Squared Markets and Vending,
Rapids Vending Company,
"Real Food Services, LLC",
RefreshmentsInc,
RefreshmentsInc_TN,
RefreshmentWorks,
Right Choice Vending,
Roddy Vending Company,
S and K Vending,
SandiaCo,
Savannah Healthy Vending LLC,
"Savory Concepts, LLC",
"SB and J Enterprises, Inc dba News2U",
Schick NJ,
Schultz Vending LLC,
Scott Mills Vending,
SE Michigan Senior Services,
Selective Vending Service,
Services for the Blind State of Maine,
Servomation,
SLABB Pipeline,
Snacktime Distributors Inc.,
Snackworks,
Snyder Food Service,
"South Fork Coffee, Inc.",
Staging,
Superior Service and Supply,
Superior Vendall Inc.,
SuperiorVendingServices,
Syds Snack Shop,
Telman,
The Evans Company,
Tomdra,
Top Priority Markets and Vending,
Total Cafe,
Trade Show,
Tri R Coffee and Vending,
Triangle Vending,
TrolleyHouseRefreshments,
University of North Dakota,
University of North Dakota B,
Van Vending Service Inc,
Vander Vending,
Vander Vending AKA Fresh Idea Foods,
Vend Alaska,
VendableSystems,
Vending Enterprises,
Vending Kingz,
Vending ONE,
Vending Services Inc,
VendingPlus,
Vendors Unlimited,
Venti Vending LLC FKA AZ Mobile Consulting FKA Vesta Vending,
W C Dining,
Walker Snacks,
Walton Beverage,
Warehouse Direct Inc,
Younger Enterprises,
